epoch,acc,loss,lr,val_acc,val_loss
68,0.9798481828213434,0.0563958418643641,1e-04,0.929,0.30928791664168237
69,0.9809249635140427,0.05453090544023519,1e-04,0.9312,0.3113776461049914
70,0.9813298686505535,0.05346272927039763,1e-04,0.9306,0.32700473105404526
71,0.981169686398747,0.053893257932451304,1e-04,0.9308,0.31752361577004196
72,0.9809605595699996,0.05454916852509691,1e-04,0.9326,0.3079013170033693
73,0.980991706118962,0.053028121920702914,1e-04,0.9342,0.3059994256667793
74,0.9814633538603923,0.052519226772337495,1e-04,0.9318,0.31678668242841956
75,0.9822331185704624,0.05066358903179289,1e-05,0.932,0.3117905582040548
76,0.9819572491367956,0.05105309909436464,1e-05,0.9318,0.31090697698369624
77,0.9819350016018226,0.050443280431004295,1e-05,0.9308,0.31165276557579635
78,0.9823844018082797,0.049566372816777095,1e-05,0.9328,0.30715851114094256
79,0.9825356850460969,0.04914694897079748,1e-05,0.931,0.3119842419177294
80,0.9825801801160431,0.050289119706174105,1e-05,0.9308,0.3092471565648913
81,0.9822909621613926,0.04989075443925178,1e-05,0.9316,0.30812360032200814
82,0.9824778414551668,0.049661677798801256,1e-05,0.9304,0.31030991975814104
83,0.9824110988502474,0.05022674280698887,1e-05,0.9324,0.30773768092617393
84,0.9823577047663119,0.050424516102559595,1e-05,0.9314,0.31150493430308995
85,0.9822687146264194,0.04954606876247763,1e-05,0.9316,0.31072384756207466
86,0.9826424732139679,0.04868067670184051,1e-05,0.9308,0.3118086320091039
87,0.9821619264585484,0.0499725217920331,1e-05,0.9324,0.31082288821097465
88,0.9822820631474033,0.04965348199969596,1e-05,0.932,0.30791206102445723
89,0.9825890791300324,0.04960710610091093,1e-05,0.9318,0.3079606318609789
90,0.9825267860321076,0.04885065441992462,1e-05,0.9326,0.31111275409832595
91,0.9826780692699248,0.04938318582574323,1e-05,0.9324,0.30894150980338453
92,0.9833632933470972,0.04728844116643889,1e-05,0.9326,0.3127618129864335
93,0.983056277364468,0.04902047708865473,1e-05,0.9328,0.31013577869385484
94,0.9829049941266508,0.04920250134519478,1e-05,0.9332,0.31061315783336757
95,0.9825089880041291,0.0490519081532273,1e-05,0.9324,0.31093629036545756
96,0.9829049941266508,0.04825505574509368,1e-05,0.9328,0.31020825153347104
97,0.9823888513152743,0.04953117369130562,1e-05,0.9316,0.31237343823984265
98,0.9828649485636991,0.04811134857657669,1e-05,0.932,0.3119693089447916
99,0.983091873420425,0.048685197701400625,1e-05,0.933,0.31222278903499245
