epoch,acc,loss,lr,val_acc,val_loss
0,0.605538256227758,1.0992517266685005,0.001,0.6568,1.273157982623577
1,0.7581114512512014,0.6877480180288216,0.001,0.784,0.7013683976054191
2,0.8070426796710924,0.5533879867100501,0.001,0.75,0.8716544770359993
3,0.8351279678211654,0.4765585902207762,0.001,0.8458,0.4819903195064515
4,0.8521918271455523,0.42365273307811724,0.001,0.865,0.42298557022809985
5,0.8661321325597123,0.383094637341673,0.001,0.8626,0.4245354889494367
6,0.8765884739970812,0.35343286741598,0.001,0.863,0.4099114317843225
7,0.8862439041754173,0.32540596752005735,0.001,0.842,0.5052058640716598
8,0.8936300857864948,0.3052658249419828,0.001,0.8826,0.3930831507667899
9,0.8994678389634428,0.2868811061349683,0.001,0.8608,0.5228689910888672
10,0.9048027978499982,0.27302645774495793,0.001,0.892,0.36748008185927755
11,0.9087183640052682,0.26061085500007414,0.001,0.9042,0.3182840580133023
12,0.9125671875556188,0.24817048672207295,0.001,0.8858,0.39152263308912516
13,0.9161623892072759,0.23769670109949892,0.001,0.886,0.3790635113929864
14,0.9192058519915993,0.22906169327242412,0.001,0.892,0.388769047488831
15,0.9232993984266543,0.2196477399112275,0.001,0.906,0.34029009511602054
16,0.9249501655216602,0.21110912708287982,0.001,0.8942,0.3979808926528436
17,0.9279046381660911,0.20388048767032532,0.001,0.9078,0.31930699806786145
18,0.9297511835688606,0.1971774295932352,0.001,0.9126,0.31463681840475183
19,0.9321227707969957,0.1927421344863521,0.001,0.912,0.3099998425645521
20,0.9338625280318941,0.18699396428980405,0.001,0.9116,0.3047214391964226
21,0.9357580180116043,0.1827589513146739,0.001,0.9046,0.3381616546487901
22,0.9382986865055352,0.1752816254225783,0.001,0.9076,0.3338998924499756
23,0.9394822553661054,0.1722723974877499,0.001,0.907,0.3427210590524366
24,0.9402920656391272,0.16833749520519625,0.001,0.9136,0.3152940000893155
25,0.9417248068913965,0.1651688778672634,0.001,0.9112,0.31197606855365445
26,0.9437938276438971,0.1592758910668024,0.001,0.9242,0.2661738800048919
27,0.9445235467910156,0.15689730521764764,0.001,0.9166,0.31556702785572854
28,0.9458628483963977,0.15215642740596264,0.001,0.9228,0.28890879504731276
29,0.9462455059979354,0.1507202841481262,0.001,0.9226,0.28890916055259297
30,0.9478562275299897,0.14646162102631122,0.001,0.9172,0.3035534475445896
31,0.9489864023066245,0.1433771159556241,0.001,0.918,0.3053404995087709
32,0.949311216317232,0.1429293594800048,0.001,0.9106,0.34830652245300736
33,0.9508240486954046,0.13863280491252794,0.001,0.918,0.3219919209964646
34,0.9519898195279963,0.13634304034740177,0.001,0.9262,0.270826301547559
35,0.9530221051507493,0.1321375839583539,0.001,0.9142,0.33016489410413485
36,0.9534270102872602,0.1319658053464103,0.001,0.9232,0.28891394978800233
37,0.9544192503470615,0.12924990917335896,0.001,0.922,0.297595425844234
38,0.9548819990745026,0.1271237169717755,0.001,0.9292,0.2735466509583814
39,0.9548375040045562,0.1269874268141508,0.001,0.9258,0.2694980993119418
40,0.9557985975153953,0.12374480277073391,0.001,0.923,0.30313813056014477
41,0.9577563805930303,0.11993688133285346,0.001,0.9136,0.344087526505813
42,0.9570889545438366,0.12149318897494585,0.001,0.9222,0.29034817403459456
43,0.9582235788274659,0.11726833417870043,0.001,0.9254,0.2954808951600105
44,0.9587041255828854,0.11663996313666732,0.001,0.923,0.2982049287438451
